__key__,access_size,aepwatch,alloc_type,avgpower,date,emon,ewr,local,machine,media,operation,peakpower,prefetching,tag,task_type,threads,throughput,version
string,integer,integer,integer,integer,string,integer,float,integer,string,string,string,integer,integer,string,string,integer,float,string
1af50b8c8f2ed278622e14b13ac7b3b7e4a24d86,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,14057.6000,f1bdd37545518343b3eeef06ed137d61f3568f0e
3bc02cd661bf6e687005c5448aef90314388c3e7,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,16380.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
3a90b5f9d675914f794025d47dd7ab7cdf6c56a4,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,15348.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
1487315671e0867c26d27d47573d09cddf955e59,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,14264.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
53230b743c8460750c7fbd3c7527c50b16b0676e,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,15042.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
ee43d47338855dd297ba71f9457446ccfedb4053,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,12006.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
220ab97a22a39071e8ca2005337e0a3069bf3a51,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,12173.6000,f1bdd37545518343b3eeef06ed137d61f3568f0e
de50392bf946ab2effae935ad7c2bba4712cd5b8,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,13804.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
d5a6db4aedbd65d4045fa6a47a4577f60083017f,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,12712.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
0d01a623259a99fa745f0573f57886ee23bf3ce3,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,12888.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
1cb6b776aa2df46cbc609df40c1205778a41b937,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,4184.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
050c00e2a648b00b581f8cff6675e9e349bdd936,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,4223.2000,f1bdd37545518343b3eeef06ed137d61f3568f0e
eef5c9ed7bbe51a339fc8068cb59de5711dfafd2,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,4550.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
514fc18edd436b5cf7f0572671d1c112a5996635,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,4352.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
61696001d3ad8ab118fd1c46adddb5a2dcf27b35,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,4072.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
47e5ef69aa608faf4b93b3101485b0b28f8f7134,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,Store+Flush,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,6904.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
601e844617af5c5c543a87880dd4ac05cdb92c97,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,Store+Flush,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,6947.2000,f1bdd37545518343b3eeef06ed137d61f3568f0e
d7ea320e55bf93c4e1a8bd40a6f8c90829cbbd1a,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,Store+Flush,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,6940.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
da9972d9f032c06ef4980fac3907f89936df9632,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,Store+Flush,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,6944.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
62f2eefe713aaa6eeacf96fd0b3e266a45a6e052,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,Store+Flush,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,12,6926.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
6bf520ec9d97d15a82e72b238b76fd27426bea48,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,19928.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
7baa1e1399f16a37c56b873d026fcf3dfa71d270,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,21920.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
3659702811a34de0c46bd3a3e3f3e1cd44622ed9,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,22355.2000,f1bdd37545518343b3eeef06ed137d61f3568f0e
1093955533015474fdd843f250c7439e0973f64f,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,20363.2000,f1bdd37545518343b3eeef06ed137d61f3568f0e
2c212ff993eac6f79c676b88aa5f0e720cb0a24a,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,Load,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,21594.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
27c5dbed15ab3d44202c582ab61d4e48f550e03a,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,11947.2000,f1bdd37545518343b3eeef06ed137d61f3568f0e
4ffb7e98336e0cb7729af038ca7b7c96f0c9ece1,1024,1,1,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,11997.6000,f1bdd37545518343b3eeef06ed137d61f3568f0e
f6f644aae120de67f4a093f393194a60302b49cd,1024,1,2,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,13748.0000,f1bdd37545518343b3eeef06ed137d61f3568f0e
e11fe6c0f12273fc5eb91fdf2c1ac1c09b74e71f,1024,1,3,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,12540.8000,f1bdd37545518343b3eeef06ed137d61f3568f0e
54c30d6bb97f85e5c2526828940474d019014b20,1024,1,4,15000,2019-04-17,0,,1,AEP1,lpmem,NTStore,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,12818.4000,f1bdd37545518343b3eeef06ed137d61f3568f0e
66d24caac1f5a0aec19a393c27a5bebaa85b4bb9,1024,1,0,15000,2019-04-17,0,,1,AEP1,lpmem,Store,20000,0,ae21c64a87f6bb0b8e16e55c48be4cc638d7bd3f,AlignBW,18,3889.6000,f1bdd37545518343b3eeef06ed137d61f3568f0e
