__key__,access_size,aepwatch,avgpower,date,emon,err,ewr,interleaving,local,machine,media,operation,peakpower,prefetching,stride_size,tag,task_type,threads,throughput,version,
string,integer,integer,integer,string,integer,float,float,integer,integer,string,string,string,integer,integer,integer,string,string,integer,float,string,
0ca490a976d05fff19b5495a251d8957397c4d75,1024,1,15000,2019-03-30,0,0.9913,0.0050,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,1,3187.2000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
2fa03784a354bd599f48d186833b75faa1669af3,1024,1,15000,2019-03-30,0,,0.9856,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,1,4364.8000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
ec1d89fb89ed8502bc08280e22863d07cadda3b2,1024,1,15000,2019-03-30,0,0.9968,0.0043,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,12,32691.2000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
3886e9aa47bb7c190b042ce74374d9a9153916f4,1024,1,15000,2019-03-30,0,,0.9637,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,12,11366.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
4f9f55c465eb6defc739c3c386fc71c10acb66bc,1024,1,15000,2019-03-30,0,0.9971,0.0041,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,15,38246.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
b6998b8bb1187639660b960408379fd0dfefc9b6,1024,1,15000,2019-03-30,0,,0.9345,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,15,10176.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
5faf490faaa1fa1453ed3155ef81aed4cd86b8a8,1024,1,15000,2019-03-30,0,0.9974,0.0042,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,16,38899.2000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
c3e1e18223557d39852e5adb3df7afbef1cffb5d,1024,1,15000,2019-03-30,0,,0.9112,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,16,9830.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
9afc4f3c631d7a409e911b432aa822dfdb7cbd4b,1024,1,15000,2019-03-30,0,0.9975,0.0027,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,17,39206.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
fb69ca7e16e45808d3009384b4143c3337b133cb,1024,1,15000,2019-03-30,0,,0.8903,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,17,9574.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
2888abb2e8419f7bbefb67834e3bd0061b4b5e76,1024,1,15000,2019-03-30,0,0.9928,0.0040,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,2,6246.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
c1a2b851af97f5acea3e88ef19c5f7168eefbc6c,1024,1,15000,2019-03-30,0,,0.9873,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,2,8601.6000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
77a1e2c1ddb56aac0dca408075c41995c1ab7253,1024,1,15000,2019-03-30,0,0.9677,0.0041,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,22,33638.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
69ab1320695047905a817aeb69fc0a9d8e3cf1f2,1024,1,15000,2019-03-30,0,,0.8175,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,22,8448.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
44a9706ff56b36c337f33eec6331dd7a029e8a34,1024,1,15000,2019-03-30,0,0.9570,0.0042,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,23,32064.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
f8ca06d31f7df1f3b6006b84bfdd80a2868584ef,1024,1,15000,2019-03-30,0,,0.8099,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,23,8243.2000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
2d23c60331ac2f3628d6e9e1831b75e71302c711,1024,1,15000,2019-03-30,0,0.9942,0.0047,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,3,9113.6000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
d48bbecba274dbc7a168569c53d820da661487ee,1024,1,15000,2019-03-30,0,,0.9890,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,3,12249.6000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
fd7183de003a84c544a293d18d817f0c479b06da,1024,1,15000,2019-03-30,0,0.9951,0.0032,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,4,11993.6000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
3458d9b6c6479b026d0b38309b36c1c04a38a395,1024,1,15000,2019-03-30,0,,0.9884,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,4,12902.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
e823b09182aa1cfb1f9676a3ecd152e6dca79f8d,1024,1,15000,2019-03-30,0,0.9954,0.0046,1,1,AEP1,lpmem,Load,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,5,14784.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
f0f7fc8c03765a79916373d420661225e644d3da,1024,1,15000,2019-03-30,0,,0.9884,1,1,AEP1,lpmem,NTStore,18000,0,1024,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,5,12992.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
a5ad5d4d1c24ac31b571bbd14273de7e76548bc6,1048576,1,15000,2019-03-30,0,0.9878,0.0050,1,1,AEP1,lpmem,Load,18000,0,1048576,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,1,3161.6000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
407839de245103ce385d18aacf32075800619ccf,1048576,1,15000,2019-03-30,0,,0.9861,1,1,AEP1,lpmem,NTStore,18000,0,1048576,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,1,4352.0000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
b628841f1b0cc1369e68e760f081d656ce9879fd,1048576,1,15000,2019-03-30,0,0.9968,0.0028,1,1,AEP1,lpmem,Load,18000,0,1048576,dad2d7c3590172e3e65ef0e8f74be9d040e1ab92,StrideBW,12,33318.4000,f4603b0c042106fc48a723bf8fd8525ce76563f4,
