HotspotRegion,99.99%,99.999%,Max
256,0.32,52.73784243,56.8
512,0.3863636364,52.42506345,56.48727273
1024,0.3836363636,52.2,59.93454545
2048,0.3845454545,51.00503496,56.65454545
4096,0.3772727273,50.97534576,59.08272727
8192,0.3818181818,49.49370629,63.33
16384,0.3781818182,47.64149758,53.44636364
32768,0.3772727273,48.43600878,55.39636364
65536,0.3736363636,18.53914935,32.72
131072,0.3745454545,0.3945454545,30.54181818
262144,0.3736363636,0.3881818182,17.49363636
524288,0.3723361818,0.3918181818,17.07818182
1048576,0.2481818182,0.2518181818,16.28181818
2097152,0.25,0.2545454545,15.70545455
4194304,0.3663636364,0.38,16.96272727
8388608,0.3745454545,0.3863636364,15.54818182
16777216,0.3736363636,0.3927790636,15.58454545
33554432,0.3727272727,0.3863636364,16.12636364
67108864,0.3754545455,0.3927790636,15.78090909
