AccessSize,Read,Write(ntstore),Write(clwb)
64,1.675,0.5546875,0.51328125
128,3.34375,1.0984375,0.92734375
256,6.5046875,2.20703125,1.7546875
512,6.53046875,2.209375,1.7609375
1024,6.51875,2.2234375,1.7765625
2048,6.49921875,2.22734375,1.7859375
4096,6.559375,2.23125,1.77421875
8192,6.51640625,2.23671875,1.778125
16384,6.50234375,2.2328125,1.775
32768,6.5140625,2.22109375,1.7875
65536,6.5578125,2.21640625,1.77578125
131072,6.5046875,2.21796875,1.771875
262144,6.51953125,2.2171875,1.7765625
524288,6.56875,2.21953125,1.771875
1048576,6.56171875,2.21015625,1.7765625
2097152,6.510742188,2.21015625,1.771875
