,DRAM,DRAM,DRAM-Remote,DRAM-Remote,Optane,Optane,PMEP,PMEP
M0,121.41,52.271875,183.53,24.68095703,259.96,11.50751953,2767.44,2.754296875
M50,92.94,29.21132813,182.45,24.65947266,261.15,11.48769531,2706.82,2.753320313
M100,88.76,18.59160156,168.47,18.38037109,265.67,12.03955078,1830.92,2.713476563
M200,87.15,11.44638672,144.88,10.26210938,218.04,11.01289063,922.85,2.429785156
M300,91.29,8.159570313,143.06,7.910546875,188.22,7.805371094,765.71,2.286914063
M400,89.68,6.433691406,139.77,6.183105469,177.91,5.895507813,629.52,2.212011719
M500,89.03,5.31171875,148.43,5.075390625,173.16,4.692578125,475.79,2.109667969
M700,89.11,3.695800781,141.18,3.822753906,189.67,3.406445313,439.32,1.625097656
M850,88.32,3.498144531,137.24,2.924023438,190.32,3.129882813,421.95,1.387597656
M1000,88.29,3.104296875,139.01,2.821386719,173.92,2.755273438,399.38,1.221679688
M1150,88.16,2.800878906,139.29,2.540527344,170.32,2.45859375,400.8,1.089746094
M1300,88.11,2.565527344,138.75,2.306542969,169.79,2.195507813,400.7,0.9873046875
M1500,88.43,2.212109375,138.37,2.065332031,168.78,1.795410156,394.45,0.8833984375
M1700,88.49,2.058984375,136.25,1.78046875,167.79,1.798925781,389.04,0.8034179688
M2500,87.99,1.686328125,134.3,1.373144531,166.8,1.350683594,397.45,0.5995117188
M3500,87.96,1.41015625,137.24,1.154980469,166.12,1.07578125,393.54,0.476953125
M5000,87.92,1.201953125,137.06,0.9469726563,165.45,0.86875,396.56,0.3815429688
M20000,87.87,0.8342773438,136.42,0.5814453125,164.64,0.4904296875,401.91,0.2120117188
M40000,88.53,0.7609375,136.16,0.5194335938,164.47,0.4385742188,409.86,0.1807617188
M80000,87.93,0.74140625,133.1,0.49765625,163.76,0.4125,419.29,0.1631835938
