,clwb(every 64B),clwb(write size),ntstore
64,0.575,0.571875,0.3375
128,1.05,0.990625,0.65
256,1.290625,1.30625,1.2625
512,1.278125,1.21875,2.2125
1024,1.275,1.228125,2.2375
2048,1.140625,1.134375,2.225
4096,1.103125,1.10625,2.2375
8192,1.1125,1.103125,2.2375
16384,1.075,1.109375,2.2125
32768,1.090625,1.0875,2.225
65536,1.084375,1.065625,2.225
131072,1.090625,1.053125,2.225
262144,1.084375,1.05,2.2375
524288,1.0875,1.059375,2.2375
1048576,1.08125,1.0625,2.225
2097152,1.084375,1.05625,2.2375
4194304,1.0875,1.065625,2.2375
8388608,1.08125,1.01875,2.225
16777216,1.1,0.975,2.225
33554432,1.1,0.9625,2.225
67108864,1.1,0.8,2.225
